MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
538090506,2018-01-01T10:40:49Z,18.42667,-64.47348,0.3,174.5,85,NA,NA,NA,NA,1,NA,NA,NA,NA,A
367638160,2018-01-01T10:40:50Z,29.90212,-90.08184,0,360,511,NA,NA,NA,NA,0,NA,NA,NA,NA,A
538007736,2018-01-01T10:40:47Z,49.17582,-123.90175,0.2,248,166,NA,NA,NA,NA,1,NA,NA,NA,NA,A
941202446,2018-01-01T10:41:09Z,35.8412,-75.6199,0.7,18.9,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,B
303295000,2018-01-01T18:39:28Z,53.8414,-166.58357,0.1,330.8,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
367496150,2018-01-01T10:41:10Z,29.73085,-95.20682,0,233.7,511,NA,NA,NA,NA,0,NA,NA,NA,NA,A
367393520,2018-01-01T10:41:04Z,37.1413,-88.73546,5.3,291.1,511,NA,NA,NA,NA,15,NA,NA,NA,NA,A
367583130,2018-01-01T10:41:08Z,30.05792,-93.71744,0,236.2,511,NA,NA,NA,NA,0,NA,NA,NA,NA,A
367812300,2018-01-01T10:41:08Z,27.82313,-97.43412,4.5,113.3,511,NA,NA,NA,NA,5,NA,NA,NA,NA,A
368014910,2018-01-01T10:41:10Z,18.05343,-65.83702,0,288.4,511,NA,NA,NA,NA,0,NA,NA,NA,NA,A
373105000,2018-01-01T10:41:11Z,29.55316,-94.91126,11.6,325,329,NA,NA,NA,NA,0,NA,NA,NA,NA,A
361111111,2018-01-01T10:41:23Z,35.36921,-94.82711,0,263.9,281,NA,NA,NA,NA,5,NA,NA,NA,NA,A
566853000,2018-01-01T04:34:28Z,31.95912,-80.50514,0.1,261,29,EVER LEGACY,IMO9595515,9V9290,70,5,334,45,14.2,74,A
316011730,2018-01-01T10:41:30Z,49.12829,-122.30152,0,222.8,16,NA,NA,NA,NA,0,NA,NA,NA,NA,A
566853000,2018-01-01T04:37:28Z,31.95916,-80.50524,0.1,205.4,32,EVER LEGACY,IMO9595515,9V9290,70,5,334,45,14.2,74,A
303198000,2018-01-01T19:10:39Z,29.32362,-94.7821,0,276.7,38,NRC ADMIRAL,IMO8978461,WCC8506,90,0,33,7,2.9,54,A
338111149,2018-01-01T10:41:38Z,40.69237,-74.13875,0,319.9,511,NA,NA,NA,NA,15,NA,NA,NA,NA,A
566853000,2018-01-01T04:40:28Z,31.95917,-80.50534,0.1,272.2,33,EVER LEGACY,IMO9595515,9V9290,70,5,334,45,14.2,74,A
566853000,2018-01-01T04:43:27Z,31.95919,-80.50539,0.1,356.1,35,EVER LEGACY,IMO9595515,9V9290,70,5,334,45,14.2,74,A
303198000,2018-01-01T19:11:50Z,29.32362,-94.78207,0,276.7,38,NRC ADMIRAL,IMO8978461,WCC8506,90,0,33,7,2.9,54,A
566853000,2018-01-01T04:46:29Z,31.95925,-80.50542,0,198.9,37,EVER LEGACY,IMO9595515,9V9290,70,5,334,45,14.2,74,A
303198000,2018-01-01T19:13:10Z,29.32361,-94.78209,0,276.7,38,NRC ADMIRAL,IMO8978461,WCC8506,90,0,33,7,2.9,54,A
367412830,2018-01-01T10:40:39Z,43.33423,-124.31754,0,226.6,511,NA,NA,NA,NA,0,NA,NA,NA,NA,A
303198000,2018-01-01T19:14:20Z,29.32361,-94.7821,0,90.3,38,NRC ADMIRAL,IMO8978461,WCC8506,90,0,33,7,2.9,54,A
338222451,2018-01-01T10:41:11Z,40.58332,-73.94727,0,360,511,NA,NA,NA,NA,8,NA,NA,NA,NA,A
303407000,2018-01-01T10:40:56Z,54.89144,-163.38548,11.1,19.4,511,NA,NA,NA,NA,0,NA,NA,NA,NA,A
270995,2018-01-01T10:41:21Z,35.09739,-90.10026,0,264.6,511,NA,NA,NA,NA,15,NA,NA,NA,NA,A
367368250,2018-01-01T10:41:09Z,26.32634,-80.08062,0.2,206,511,NA,NA,NA,NA,5,NA,NA,NA,NA,A
303198000,2018-01-01T19:15:29Z,29.32361,-94.78207,0,90.3,39,NRC ADMIRAL,IMO8978461,WCC8506,90,0,33,7,2.9,54,A
371639000,2018-01-01T10:41:49Z,29.50648,-94.87515,12.7,326.3,329,NA,NA,NA,NA,0,NA,NA,NA,NA,A
303295000,2018-01-01T23:59:10Z,53.84143,-166.58359,0.1,81.5,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T18:38:18Z,53.8414,-166.58361,0.1,329,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
366997630,2018-01-01T10:41:26Z,29.9534,-93.86541,0,229.8,511,NA,NA,NA,NA,0,NA,NA,NA,NA,A
303295000,2018-01-01T23:58:01Z,53.84144,-166.58359,0.1,75.4,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
338117119,2018-01-01T10:41:30Z,59.60478,-151.42028,0,254.1,511,NA,NA,NA,NA,0,NA,NA,NA,NA,A
303295000,2018-01-01T23:55:51Z,53.84146,-166.58358,0.1,109.1,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
367518770,2018-01-01T10:41:02Z,28.64165,-96.55352,0,243.6,511,NA,NA,NA,NA,15,NA,NA,NA,NA,A
303295000,2018-01-01T23:57:00Z,53.84145,-166.58358,0.1,64.9,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T18:37:17Z,53.84139,-166.58363,0.1,332.2,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
368015220,2018-01-01T10:41:17Z,27.92668,-82.44352,102.3,360,52,NA,NA,NA,NA,15,NA,NA,NA,NA,A
303295000,2018-01-01T23:54:41Z,53.84144,-166.58354,0.1,86.8,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
566853000,2018-01-01T04:49:28Z,31.95923,-80.50541,0,165,39,EVER LEGACY,IMO9595515,9V9290,70,5,334,45,14.2,74,A
303295000,2018-01-01T23:53:29Z,53.84145,-166.58355,0.1,77.8,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
369881100,2018-01-01T10:41:21Z,28.89363,-89.19804,6.1,85,69,NA,NA,NA,NA,8,NA,NA,NA,NA,A
303295000,2018-01-01T18:36:08Z,53.84139,-166.58363,0.1,317.9,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T18:35:07Z,53.84138,-166.58362,0.1,323.3,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T18:33:57Z,53.84137,-166.5837,0.1,342.6,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T18:32:38Z,53.84141,-166.58363,0,340.1,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T18:31:28Z,53.84141,-166.5836,0.3,331.4,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T18:28:57Z,53.8414,-166.58357,0.1,325.7,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T23:52:20Z,53.84144,-166.58352,0.1,113.9,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T18:30:07Z,53.84143,-166.58352,0.1,345,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T18:26:48Z,53.84143,-166.58354,0.1,333.8,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T23:50:11Z,53.84143,-166.58362,0.1,134.6,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T18:27:49Z,53.84143,-166.58357,0.1,339.8,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T23:51:19Z,53.84144,-166.58355,0.1,102.6,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T23:49:01Z,53.84144,-166.58368,0,118.5,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T18:25:39Z,53.84142,-166.58349,0.1,327.5,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T23:47:51Z,53.84142,-166.58358,0.1,135.5,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T18:24:28Z,53.8414,-166.58352,0.2,324.6,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
367442550,2018-01-01T10:41:38Z,29.46379,-94.96308,0,225.8,511,NA,NA,NA,NA,15,NA,NA,NA,NA,A
303295000,2018-01-01T18:22:09Z,53.84139,-166.58355,0.1,330.6,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
367460670,2018-01-01T10:42:09Z,41.62812,-70.9158,0,279.4,345,NA,NA,NA,NA,0,NA,NA,NA,NA,A
303295000,2018-01-01T18:23:19Z,53.84139,-166.5836,0.1,330.9,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
367556028,2018-01-01T10:41:44Z,27.59899,-97.25823,0,235.3,33,NA,NA,NA,NA,15,NA,NA,NA,NA,A
303295000,2018-01-01T18:19:48Z,53.8414,-166.58354,0.1,305,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
316001002,2018-01-01T10:41:45Z,42.95951,-82.35741,0,11.3,511,NA,NA,NA,NA,15,NA,NA,NA,NA,A
303295000,2018-01-01T18:20:58Z,53.8414,-166.58347,0.1,313.2,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T18:18:39Z,53.84141,-166.58355,0.2,321.3,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
367412830,2018-01-01T10:41:50Z,43.33423,-124.31756,0,228.3,511,NA,NA,NA,NA,0,NA,NA,NA,NA,A
303295000,2018-01-01T18:17:28Z,53.84141,-166.58354,0.1,336.6,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T18:16:17Z,53.84137,-166.58365,0.1,329.4,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T18:15:09Z,53.84141,-166.58349,0.1,346.9,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T23:46:50Z,53.84143,-166.58358,0.1,145.4,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T18:13:58Z,53.84141,-166.58354,0.1,354.2,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T18:12:47Z,53.84141,-166.58355,0.1,344.6,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T23:45:39Z,53.84142,-166.58356,0,134,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
367005220,2018-01-01T10:41:53Z,29.42477,-94.72157,0,234.1,511,NA,NA,NA,NA,0,NA,NA,NA,NA,A
303295000,2018-01-01T23:44:31Z,53.84144,-166.58355,0,138.1,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T23:43:20Z,53.84143,-166.58356,0.1,122.6,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T23:42:10Z,53.84142,-166.58359,0.1,140.3,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
368015740,2018-01-01T10:41:54Z,36.84828,-76.31558,0.1,323.1,221,NA,NA,NA,NA,0,NA,NA,NA,NA,A
268112000,2018-01-01T10:41:28Z,29.77912,-92.18297,0,274.2,511,NA,NA,NA,NA,0,NA,NA,NA,NA,A
885231800,2018-01-01T10:41:34Z,28.41606,-80.62389,0,360,511,NA,NA,NA,NA,0,NA,NA,NA,NA,A
303295000,2018-01-01T23:41:00Z,53.84141,-166.58359,0.1,139.7,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T18:11:39Z,53.84139,-166.58361,0.1,348.3,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
367683579,2018-01-01T10:41:35Z,40.38555,-91.40524,0,232.8,511,NA,NA,NA,NA,15,NA,NA,NA,NA,A
303295000,2018-01-01T23:39:50Z,53.84141,-166.58364,0,128.7,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
303295000,2018-01-01T18:10:28Z,53.84139,-166.58362,0,357.9,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
367508710,2018-01-01T10:41:36Z,27.82148,-97.48453,0,233.4,511,NA,NA,NA,NA,5,NA,NA,NA,NA,A
303295000,2018-01-01T23:37:19Z,53.84141,-166.58355,0.1,156.1,511,MALOLO,IMO7614082,WYH6327,31,0,30,9,4.2,38,A
338131199,2018-01-01T10:41:47Z,33.75585,-118.11638,0,0,511,NA,NA,NA,NA,15,NA,NA,NA,NA,A
