ship_id,callsign,shipname,draught,imo,ais_type_summary,mmsi,speed,avg_speed,destination,distance_to_go,distance_travelled,eta,eta_calc,eta_updated,heading,lon,lat,max_speed,timestamp,utc_seconds,current_location,jenis_alert,track
114677,V7A2194,F FORTUNE,96,9218777,Cargo,538008285,102,10.7,CN.HUH,2141,3601,2022-06-02T13:00:00Z,2022-06-02T12:38:00Z,NA,15,1200508,6931817,14.5,2021-09-13T18:57:00Z,53,0101000020E61000000000004040035E40000000402EBA1B40,ALERT-HLD-ALKI,"LINESTRING(117.261 -1.6502,117.3557 -1.5258,117.4294 -1.428983,117.4606 -1.38565,117.5356 -1.28595,117.5874 -1.21285,117.7213 -1.031433,117.8175 -0.9065,117.8835 -0.813033,117.935 -0.74015,118.051 -0.590667,118.1354 -0.47445,118.1848 -0.408133,118.2824 -0.27235,118.3469 -0.188133,118.396 -0.125883,118.4791 -0.013433,118.5615 0.102967,118.6487 0.21805,118.6756 0.256517,118.8764 0.523517,118.8764 0.523517,119.0327 0.731883,119.1057 0.836117,119.1648 0.917083,119.1702 0.957833,119.1848 1.064883,119.1848 1.064883,119.1848 1.064883)"
687303,VRFY7,GREAT TANG,95,9452464,Cargo,477387100,88,9.8,PORT HEDLAND,659,1944,2022-06-11T13:00:00Z,2022-06-11T02:46:00Z,NA,158,1161239,-107921,15,2021-09-15T04:21:00Z,9,0101000020E610000000000000EE075D40000000208E9525C0,ALERT-HLD-ALKI,"LINESTRING(113.4304 -5.948168,113.5271 -5.998837,113.5271 -5.998837,114.0231 -6.377978,114.2015 -6.51278,114.2219 -6.527751,115.274 -7.552677,115.274 -7.552677,115.5405 -7.949992,115.6419 -8.027285,115.774 -8.534427,115.774 -8.534427)"
121615,5BVL2,WARNOW CHIEF,77,9449857,Cargo,209138000,144,14.8,INNSA,1886,12,2022-06-07T09:55:00Z,2022-06-07T06:24:00Z,NA,290,9552621,6301615,17,2022-05-14T23:48:00Z,27,0101000020E610000000000060ADE15740000000A0DA341940,ALERT-HLD-ALKI,"LINESTRING(118.1977 -6.917125,118.1534 -6.902022,117.867 -6.819842,117.2541 -6.653358,117.2237 -6.64352,116.9449 -6.553417,116.831 -6.523687,116.6974 -6.484776,116.4413 -6.409534,115.9768 -6.277256,115.635 -6.179098,115.635 -6.179098)"
121633,3E3940,XIANGMING,69,9221607,Cargo,352986199,1,9,ID ADANG BAY,0,3416,2022-06-13T13:00:00Z,NA,NA,328,1166543,-1703367,13.5,2021-09-16T11:33:00Z,8,0101000020E610000000000000E0295D40000000C0FD40FBBF,ALERT-HLD-ALKI,"LINESTRING(117.5984 -1.509067,117.6946 -1.430133,117.812 -1.344167,117.9077 -1.223533,117.9602 -1.143983,118.0274 -1.04425,118.1342 -0.889967,118.1893 -0.807583,118.2756 -0.67555,118.3842 -0.516683,118.4483 -0.418183,118.5403 -0.282383,118.6165 -0.169533,118.6753 -0.07725,118.7631 0.052,118.8369 0.159133,118.9128 0.273333,119.007 0.416567,119.0943 0.540067,119.1569 0.634633,119.2078 0.704233,119.4029 1.096,119.4182 1.226883,119.4248 1.317217,119.4419 1.51325,119.4452 1.5668,119.4452 1.5668)"
122260,YCUK2,MERATUS PADANG,67,9520493,Cargo,525125017,8,8,TOLITOLI,0,26,2022-05-04T23:00:00Z,NA,NA,85,1128218,-6863138,9,2021-09-28T04:17:00Z,49,0101000020E61000000000006098345C4000000080DA731BC0,ALERT-AISDOWN-3DAY,"LINESTRING(124.212 -8.945525,112.6771 -7.1653,112.6771 -7.1653)"
122260,YCUK2,MERATUS PADANG,67,9520493,Cargo,525125017,8,8,TOLITOLI,0,26,2022-05-04T23:00:00Z,NA,NA,85,1128218,-6863138,9,2021-09-28T04:17:00Z,49,0101000020E61000000000006098345C4000000080DA731BC0,ALERT-AISDOWN-3DAY,"LINESTRING(120.8007 1.050742,119.2687 0.25342,119.2687 0.25342)"
122267,5BRR2,MCP PAPHOS,58,9555436,Cargo,209442000,84,9,AUDRW,903,994,2022-06-16T12:00:00Z,2022-06-17T04:40:00Z,NA,110,1203343,-1081418,12.4,2022-01-06T00:29:00Z,60,0101000020E61000000000002065155E4000000040DCA025C0,ALERT-HLD-ALKI,"LINESTRING(117.1918 -7.987422,117.1918 -7.987422,116.1112 -7.634819,115.9663 -7.577826,115.9186 -7.558128,115.1396 -7.217003,115.045 -7.177343,115.045 -7.177343)"
122267,5BRR2,MCP PAPHOS,58,9555436,Cargo,209442000,84,9,AUDRW,903,994,2022-06-16T12:00:00Z,2022-06-17T04:40:00Z,NA,110,1203343,-1081418,12.4,2022-01-06T00:29:00Z,60,0101000020E61000000000002065155E4000000040DCA025C0,ALERT-HLD-ALKI,"LINESTRING(115.195 -7.25588,115.3096 -7.304238,115.496 -7.389352,115.496 -7.389352,115.6862 -7.45777,115.9557 -7.566043,115.9557 -7.566043,116.2181 -7.678465,116.27 -7.697309,116.5529 -7.816603,116.5529 -7.816603,116.8976 -7.955488,116.8976 -7.955488)"
122267,5BRR2,MCP PAPHOS,58,9555436,Cargo,209442000,84,9,AUDRW,903,994,2022-06-16T12:00:00Z,2022-06-17T04:40:00Z,NA,110,1203343,-1081418,12.4,2022-01-06T00:29:00Z,60,0101000020E61000000000002065155E4000000040DCA025C0,ALERT-HLD-ALKI,"LINESTRING(116.2595 -7.692567,116.1339 -7.637562,116.0254 -7.590545,114.6944 -6.579562,113.9761 -6.165715,113.9761 -6.165715,113.9761 -6.165715)"
122267,5BRR2,MCP PAPHOS,58,9555436,Cargo,209442000,84,9,AUDRW,903,994,2022-06-16T12:00:00Z,2022-06-17T04:40:00Z,NA,110,1203343,-1081418,12.4,2022-01-06T00:29:00Z,60,0101000020E61000000000002065155E4000000040DCA025C0,ALERT-HLD-ALKI,"LINESTRING(115.0154 -7.247674,115.5204 -7.8149,115.558 -7.859237,115.7582 -8.086739,115.8808 -8.220391,115.8288 -8.375335,115.7753 -8.518933,115.6597 -8.873841,115.6188 -8.96372,115.6729 -9.02678,115.6729 -9.02678,115.7817 -9.076685,115.9049 -9.113412,116.4217 -9.327935,116.4217 -9.327935)"
